date,day,month,year,cases,deaths,popData2020,continente,pais,geoId,pais_code
07/01/2022,7,1,2022,8288,7,8901064,Europe,Austria,AT,AUT
06/01/2022,6,1,2022,10778,23,8901064,Europe,Austria,AT,AUT
05/01/2022,5,1,2022,5435,13,8901064,Europe,Austria,AT,AUT
04/01/2022,4,1,2022,3221,13,8901064,Europe,Austria,AT,AUT
03/01/2022,3,1,2022,32360,198,8901064,Europe,Austria,AT,AUT
22/12/2021,22,12,2021,1913,40,8901064,Europe,Austria,AT,AUT
21/12/2021,21,12,2021,1863,20,8901064,Europe,Austria,AT,AUT
20/12/2021,20,12,2021,2131,13,8901064,Europe,Austria,AT,AUT
19/12/2021,19,12,2021,2378,17,8901064,Europe,Austria,AT,AUT
18/12/2021,18,12,2021,2577,51,8901064,Europe,Austria,AT,AUT
17/12/2021,17,12,2021,2847,35,8901064,Europe,Austria,AT,AUT
16/12/2021,16,12,2021,3424,54,8901064,Europe,Austria,AT,AUT
15/12/2021,15,12,2021,3314,59,8901064,Europe,Austria,AT,AUT
14/12/2021,14,12,2021,2829,28,8901064,Europe,Austria,AT,AUT
13/12/2021,13,12,2021,3591,19,8901064,Europe,Austria,AT,AUT
12/12/2021,12,12,2021,4909,53,8901064,Europe,Austria,AT,AUT
11/12/2021,11,12,2021,2512,110,8901064,Europe,Austria,AT,AUT
10/12/2021,10,12,2021,4223,17,8901064,Europe,Austria,AT,AUT
09/12/2021,9,12,2021,6208,47,8901064,Europe,Austria,AT,AUT
08/12/2021,8,12,2021,3879,67,8901064,Europe,Austria,AT,AUT
07/12/2021,7,12,2021,4645,69,8901064,Europe,Austria,AT,AUT
06/12/2021,6,12,2021,5314,59,8901064,Europe,Austria,AT,AUT
05/12/2021,5,12,2021,6962,85,8901064,Europe,Austria,AT,AUT
04/12/2021,4,12,2021,6486,89,8901064,Europe,Austria,AT,AUT
03/12/2021,3,12,2021,8506,76,8901064,Europe,Austria,AT,AUT
02/12/2021,2,12,2021,11050,56,8901064,Europe,Austria,AT,AUT
01/12/2021,1,12,2021,8219,77,8901064,Europe,Austria,AT,AUT
30/11/2021,30,11,2021,7787,36,8901064,Europe,Austria,AT,AUT
29/11/2021,29,11,2021,9732,43,8901064,Europe,Austria,AT,AUT
28/11/2021,28,11,2021,12249,39,8901064,Europe,Austria,AT,AUT
27/11/2021,27,11,2021,12746,44,8901064,Europe,Austria,AT,AUT
26/11/2021,26,11,2021,14330,66,8901064,Europe,Austria,AT,AUT
25/11/2021,25,11,2021,14575,55,8901064,Europe,Austria,AT,AUT
24/11/2021,24,11,2021,10665,59,8901064,Europe,Austria,AT,AUT
23/11/2021,23,11,2021,11921,39,8901064,Europe,Austria,AT,AUT
22/11/2021,22,11,2021,13795,19,8901064,Europe,Austria,AT,AUT
21/11/2021,21,11,2021,15208,31,8901064,Europe,Austria,AT,AUT
20/11/2021,20,11,2021,15950,31,8901064,Europe,Austria,AT,AUT
19/11/2021,19,11,2021,14917,39,8901064,Europe,Austria,AT,AUT
18/11/2021,18,11,2021,16185,29,8901064,Europe,Austria,AT,AUT
17/11/2021,17,11,2021,10472,49,8901064,Europe,Austria,AT,AUT
16/11/2021,16,11,2021,12199,29,8901064,Europe,Austria,AT,AUT
15/11/2021,15,11,2021,11227,36,8901064,Europe,Austria,AT,AUT
14/11/2021,14,11,2021,13284,26,8901064,Europe,Austria,AT,AUT
13/11/2021,13,11,2021,11191,31,8901064,Europe,Austria,AT,AUT
12/11/2021,12,11,2021,13500,27,8901064,Europe,Austria,AT,AUT
11/11/2021,11,11,2021,11571,16,8901064,Europe,Austria,AT,AUT
10/11/2021,10,11,2021,7056,30,8901064,Europe,Austria,AT,AUT
09/11/2021,9,11,2021,7975,13,8901064,Europe,Austria,AT,AUT
08/11/2021,8,11,2021,8582,17,8901064,Europe,Austria,AT,AUT
07/11/2021,7,11,2021,9894,16,8901064,Europe,Austria,AT,AUT
06/11/2021,6,11,2021,9618,31,8901064,Europe,Austria,AT,AUT
05/11/2021,5,11,2021,8877,22,8901064,Europe,Austria,AT,AUT
04/11/2021,4,11,2021,6494,14,8901064,Europe,Austria,AT,AUT
03/11/2021,3,11,2021,4962,10,8901064,Europe,Austria,AT,AUT
02/11/2021,2,11,2021,4972,10,8901064,Europe,Austria,AT,AUT
01/11/2021,1,11,2021,5741,8,8901064,Europe,Austria,AT,AUT
31/10/2021,31,10,2021,6014,10,8901064,Europe,Austria,AT,AUT
30/10/2021,30,10,2021,6093,7,8901064,Europe,Austria,AT,AUT
29/10/2021,29,10,2021,4232,13,8901064,Europe,Austria,AT,AUT
28/10/2021,28,10,2021,4407,18,8901064,Europe,Austria,AT,AUT
27/10/2021,27,10,2021,3388,13,8901064,Europe,Austria,AT,AUT
26/10/2021,26,10,2021,2765,15,8901064,Europe,Austria,AT,AUT
25/10/2021,25,10,2021,3655,1,8901064,Europe,Austria,AT,AUT
24/10/2021,24,10,2021,3731,8,8901064,Europe,Austria,AT,AUT
