Country,State,Date,Casos,Muertes,popData2020
Europe,Austria,01/07/2022,8288,7,8901064
Europe,Austria,01/06/2022,10778,23,8901064
Europe,Austria,01/05/2022,5435,13,8901064
Europe,Austria,01/04/2022,3221,13,8901064
Europe,Austria,01/03/2022,32360,198,8901064
Europe,Austria,22/12/2021,1913,40,8901064
Europe,Austria,21/12/2021,1863,20,8901064
Europe,Austria,20/12/2021,2131,13,8901064
Europe,Austria,19/12/2021,2378,17,8901064
Europe,Austria,18/12/2021,2577,51,8901064
Europe,Austria,17/12/2021,2847,35,8901064
Europe,Austria,16/12/2021,3424,54,8901064
Europe,Austria,15/12/2021,3314,59,8901064
Europe,Austria,14/12/2021,2829,28,8901064
Europe,Austria,13/12/2021,3591,19,8901064
Europe,Austria,12/12/2021,4909,53,8901064
Europe,Austria,12/11/2021,2512,110,8901064
Europe,Austria,12/10/2021,4223,17,8901064
Europe,Austria,12/09/2021,6208,47,8901064
Europe,Austria,12/08/2021,3879,67,8901064
Europe,Austria,12/07/2021,4645,69,8901064
Europe,Austria,12/06/2021,5314,59,8901064
Europe,Austria,12/05/2021,6962,85,8901064
Europe,Austria,12/04/2021,6486,89,8901064
Europe,Austria,12/03/2021,8506,76,8901064
Europe,Austria,12/02/2021,11050,56,8901064
Europe,Austria,12/01/2021,8219,77,8901064
Europe,Austria,30/11/2021,7787,36,8901064
Europe,Austria,29/11/2021,9732,43,8901064
Europe,Austria,28/11/2021,12249,39,8901064
Europe,Austria,27/11/2021,12746,44,8901064
Europe,Austria,26/11/2021,14330,66,8901064
Europe,Austria,25/11/2021,14575,55,8901064
Europe,Austria,24/11/2021,10665,59,8901064
Europe,Austria,23/11/2021,11921,39,8901064
Europe,Austria,22/11/2021,13795,19,8901064
Europe,Austria,21/11/2021,15208,31,8901064
Europe,Austria,20/11/2021,15950,31,8901064
Europe,Austria,19/11/2021,14917,39,8901064
Europe,Austria,18/11/2021,16185,29,8901064
Europe,Austria,17/11/2021,10472,49,8901064
Europe,Austria,16/11/2021,12199,29,8901064
Europe,Austria,15/11/2021,11227,36,8901064
Europe,Austria,14/11/2021,13284,26,8901064
Europe,Austria,13/11/2021,11191,31,8901064
Europe,Austria,11/12/2021,13500,27,8901064
Europe,Austria,11/11/2021,11571,16,8901064
Europe,Austria,11/10/2021,7056,30,8901064
Europe,Austria,11/09/2021,7975,13,8901064
Europe,Austria,11/08/2021,8582,17,8901064
Europe,Austria,11/07/2021,9894,16,8901064
Europe,Austria,11/06/2021,9618,31,8901064
Europe,Austria,11/05/2021,8877,22,8901064
Europe,Austria,11/04/2021,6494,14,8901064
Europe,Austria,11/03/2021,4962,10,8901064
Europe,Austria,11/02/2021,4972,10,8901064
Europe,Austria,11/01/2021,5741,8,8901064
Europe,Austria,31/10/2021,6014,10,8901064
Europe,Austria,30/10/2021,6093,7,8901064
Europe,Austria,29/10/2021,4232,13,8901064
Europe,Austria,28/10/2021,4407,18,8901064
Europe,Austria,27/10/2021,3388,13,8901064
Europe,Austria,26/10/2021,2765,15,8901064
Europe,Austria,25/10/2021,3655,1,8901064
Europe,Austria,24/10/2021,3731,8,8901064
Europe,Austria,23/10/2021,3550,11,8901064
Europe,Austria,22/10/2021,3818,8,8901064
Europe,Austria,21/10/2021,3865,14,8901064
Europe,Austria,20/10/2021,2605,9,8901064
Europe,Austria,19/10/2021,1797,13,8901064
Europe,Austria,18/10/2021,2257,9,8901064
Europe,Austria,17/10/2021,2451,4,8901064
Europe,Austria,16/10/2021,2495,16,8901064
Europe,Austria,15/10/2021,2210,17,8901064
Europe,Austria,14/10/2021,2719,11,8901064
Europe,Austria,13/10/2021,1420,8,8901064
Europe,Austria,10/12/2021,1209,14,8901064
Europe,Austria,10/11/2021,1696,3,8901064
Europe,Austria,10/10/2021,1833,7,8901064
Europe,Austria,10/09/2021,1890,16,8901064
Europe,Austria,10/08/2021,2040,8,8901064
Europe,Austria,10/07/2021,2924,15,8901064
Europe,Austria,10/06/2021,1175,9,8901064
Europe,Austria,10/05/2021,1143,11,8901064
Europe,Austria,10/04/2021,1532,5,8901064
Europe,Austria,10/03/2021,2000,7,8901064
Europe,Austria,10/02/2021,1953,4,8901064
Europe,Austria,10/01/2021,1997,6,8901064
Europe,Austria,30/09/2021,2536,14,8901064
Europe,Austria,29/09/2021,1338,7,8901064
Europe,Austria,28/09/2021,1267,5,8901064
Europe,Austria,27/09/2021,1556,6,8901064
Europe,Austria,26/09/2021,2029,4,8901064
Europe,Austria,25/09/2021,1803,10,8901064
Europe,Austria,24/09/2021,1708,9,8901064
Europe,Austria,23/09/2021,2089,12,8901064
Europe,Austria,22/09/2021,1242,17,8901064
Europe,Austria,21/09/2021,1162,7,8901064
Europe,Austria,20/09/2021,1708,7,8901064
Europe,Austria,19/09/2021,2072,5,8901064
Europe,Austria,18/09/2021,2235,9,8901064
Europe,Austria,17/09/2021,2283,8,8901064
Europe,Austria,16/09/2021,2638,8,8901064
Europe,Austria,15/09/2021,1859,7,8901064
Europe,Austria,14/09/2021,1227,4,8901064
Europe,Austria,13/09/2021,1891,0,8901064
Europe,Austria,09/12/2021,2431,5,8901064
Europe,Austria,09/11/2021,2259,5,8901064
Europe,Austria,09/10/2021,2157,3,8901064
Europe,Austria,09/09/2021,2505,6,8901064
Europe,Austria,09/08/2021,1496,8,8901064
Europe,Austria,09/07/2021,1342,7,8901064
Europe,Austria,09/06/2021,1729,5,8901064
Europe,Austria,09/05/2021,1865,4,8901064
Europe,Austria,09/04/2021,1733,7,8901064
Europe,Austria,09/03/2021,1549,3,8901064
Europe,Austria,09/02/2021,1821,6,8901064
Europe,Austria,09/01/2021,1265,1,8901064
Europe,Austria,31/08/2021,1092,2,8901064
Europe,Austria,30/08/2021,1339,5,8901064
Europe,Austria,29/08/2021,1408,4,8901064
Europe,Austria,28/08/2021,1490,2,8901064
Europe,Austria,27/08/2021,1535,2,8901064
Europe,Austria,26/08/2021,1618,2,8901064
Europe,Austria,25/08/2021,1014,3,8901064
Europe,Austria,24/08/2021,971,2,8901064
Europe,Austria,23/08/2021,1174,2,8901064
Europe,Austria,22/08/2021,1309,1,8901064
Europe,Austria,21/08/2021,1321,2,8901064
Europe,Austria,20/08/2021,1179,0,8901064
Europe,Austria,19/08/2021,1293,0,8901064
Europe,Austria,18/08/2021,864,0,8901064
Europe,Austria,17/08/2021,715,0,8901064
Europe,Austria,16/08/2021,871,2,8901064
Europe,Austria,15/08/2021,997,2,8901064
Europe,Austria,14/08/2021,967,2,8901064
Europe,Austria,13/08/2021,879,0,8901064
Europe,Austria,08/12/2021,894,1,8901064
Europe,Austria,08/11/2021,584,1,8901064
Europe,Austria,08/10/2021,343,1,8901064
Europe,Austria,08/09/2021,587,1,8901064
Europe,Austria,08/08/2021,673,1,8901064
Europe,Austria,08/07/2021,553,1,8901064
Europe,Austria,08/06/2021,485,2,8901064
Europe,Austria,08/05/2021,597,1,8901064
Europe,Austria,08/04/2021,376,2,8901064
Europe,Austria,08/03/2021,332,1,8901064
Europe,Austria,08/02/2021,444,1,8901064
Europe,Austria,08/01/2021,593,0,8901064
Europe,Austria,31/07/2021,517,1,8901064
Europe,Austria,30/07/2021,495,0,8901064
Europe,Austria,29/07/2021,528,0,8901064
Europe,Austria,28/07/2021,404,1,8901064
Europe,Austria,27/07/2021,291,2,8901064
Europe,Austria,26/07/2021,323,1,8901064
Europe,Austria,25/07/2021,368,0,8901064
Europe,Austria,24/07/2021,406,1,8901064
Europe,Austria,23/07/2021,463,0,8901064
Europe,Austria,22/07/2021,400,0,8901064
Europe,Austria,21/07/2021,306,0,8901064
Europe,Austria,20/07/2021,248,0,8901064
Europe,Austria,19/07/2021,325,0,8901064
Europe,Austria,18/07/2021,466,1,8901064
Europe,Austria,17/07/2021,328,0,8901064
Europe,Austria,16/07/2021,310,1,8901064
Europe,Austria,15/07/2021,268,2,8901064
Europe,Austria,14/07/2021,283,0,8901064
Europe,Austria,13/07/2021,87,0,8901064
Europe,Austria,07/12/2021,156,0,8901064
Europe,Austria,07/11/2021,25,0,8901064
Europe,Austria,07/10/2021,117,0,8901064
Europe,Austria,07/09/2021,130,1,8901064
Europe,Austria,07/08/2021,111,1,8901064
Europe,Austria,07/07/2021,90,0,8901064
Europe,Austria,07/06/2021,45,0,8901064
Europe,Austria,07/05/2021,73,3,8901064
Europe,Austria,07/04/2021,145,3,8901064
